"","Municipality_Code","Municipality_Name","Type_of_Municipality_Code","Region_Code","Count"
"281","2560","Älvsbyn",5,25,107
"282","2584","Kiruna",6,25,200
"283","2581","Piteå",6,25,355
"284","2505","Arvidsjaur",8,25,75
"285","2523","Gällivare",8,25,243
"286","2583","Haparanda",8,25,144
"287","2510","Jokkmokk",8,25,73
"288","2514","Kalix",8,25,251
"289","2521","Pajala",8,25,43
"290","2513","Överkalix",8,25,74
"291","2518","Övertorneå",8,25,43
"292","2506","Arjeplog",9,25,50
