"","Date","DateTime","isCar","Municipality_Code","Reason","Count"
"161",2012-01-12,2012-01-12 21:12:00,"1","0180","Other Reason",1
"162",2012-01-12,2012-01-12 21:44:00,"1","1480","Other Reason",1
"163",2012-01-12,2012-01-12 21:49:00,"1","1981","Other Reason",1
"164",2012-01-12,2012-01-12 23:55:00,"1","0136","Other Reason",1
"165",2012-01-13,2012-01-13 00:52:00,"1","0180","Other Reason",1
"166",2012-01-13,2012-01-13 00:54:00,"1","0181","Other Reason",1
"167",2012-01-13,2012-01-13 01:22:00,"1","1290","Arson",1
"168",2012-01-13,2012-01-13 08:35:00,"1","1480","Other Reason",1
"169",2012-01-13,2012-01-13 09:17:00,"0","0180","Technical Malfunctioning",1
"170",2012-01-13,2012-01-13 14:26:00,"1","1290","Technical Malfunctioning",1
"171",2012-01-13,2012-01-13 16:58:00,"1","2183","Technical Malfunctioning",1
"172",2012-01-13,2012-01-13 20:30:00,"0","1860","Technical Malfunctioning",1
"173",2012-01-13,2012-01-13 21:17:00,"1","0180","Other Reason",1
"174",2012-01-13,2012-01-13 21:28:00,"1","1490","Arson",1
"175",2012-01-13,2012-01-13 22:12:00,"1","1280","Arson",1
"176",2012-01-13,2012-01-13 23:06:00,"1","0127","Other Reason",1
"177",2012-01-14,2012-01-14 01:19:00,"1","1490","Arson",1
"178",2012-01-14,2012-01-14 01:40:00,"1","2180","Arson",1
"179",2012-01-14,2012-01-14 01:41:00,"1","1280","Arson",1
"180",2012-01-14,2012-01-14 02:17:00,"1","0138","Other Reason",1
"181",2012-01-14,2012-01-14 02:41:00,"1","0183","Other Reason",1
"182",2012-01-14,2012-01-14 03:13:00,"1","2581","Arson",1
"183",2012-01-14,2012-01-14 03:19:00,"1","1435","Other Reason",1
"184",2012-01-14,2012-01-14 03:35:00,"0","2283","Other Reason",1
"185",2012-01-14,2012-01-14 13:33:00,"1","1280","Other Reason",1
"186",2012-01-14,2012-01-14 15:35:00,"1","0880","Other Reason",1
"187",2012-01-14,2012-01-14 18:50:00,"1","0126","Other Reason",1
"188",2012-01-14,2012-01-14 19:31:00,"1","2262","Technical Malfunctioning",1
"189",2012-01-14,2012-01-14 20:37:00,"1","1982","Other Reason",1
"190",2012-01-14,2012-01-14 21:16:00,"1","1980","Other Reason",1
"191",2012-01-14,2012-01-14 23:07:00,"1","0180","Arson",1
"192",2012-01-14,2012-01-14 23:34:00,"1","0484","Arson",1
"193",2012-01-15,2012-01-15 00:30:00,"1","0680","Arson",1
"194",2012-01-15,2012-01-15 01:41:00,"1","1283","Other Reason",1
"195",2012-01-15,2012-01-15 01:52:00,"1","0181","Other Reason",1
"196",2012-01-15,2012-01-15 04:00:00,"1","1277","Other Reason",1
"197",2012-01-15,2012-01-15 04:23:00,"1","0181","Other Reason",1
"198",2012-01-15,2012-01-15 04:34:00,"1","0486","Other Reason",1
"199",2012-01-15,2012-01-15 14:37:00,"1","1446","Technical Malfunctioning",1
"200",2012-01-15,2012-01-15 15:27:00,"1","1981","Technical Malfunctioning",1
"201",2012-01-15,2012-01-15 15:30:00,"1","0580","Other Reason",1
"202",2012-01-16,2012-01-16 00:34:00,"1","2281","Other Reason",1
"203",2012-01-16,2012-01-16 00:56:00,"1","0180","Arson",1
"204",2012-01-16,2012-01-16 00:57:00,"1","0180","Other Reason",1
"205",2012-01-16,2012-01-16 07:12:00,"0","2183","Technical Malfunctioning",1
"206",2012-01-16,2012-01-16 10:54:00,"1","0180","Other Reason",1
"207",2012-01-16,2012-01-16 12:03:00,"1","2282","Other Reason",1
"208",2012-01-16,2012-01-16 17:43:00,"0","0680","Technical Malfunctioning",1
"209",2012-01-16,2012-01-16 17:48:00,"1","1488","Arson",1
"210",2012-01-16,2012-01-16 18:06:00,"1","2580","Arson",1
"211",2012-01-16,2012-01-16 18:44:00,"1","1292","Other Reason",1
"212",2012-01-16,2012-01-16 19:05:00,"1","0980","Other Reason",1
"213",2012-01-16,2012-01-16 19:39:00,"1","0880","Other Reason",1
"214",2012-01-16,2012-01-16 20:38:00,"1","1480","Other Reason",1
"215",2012-01-16,2012-01-16 21:14:00,"1","2582","Other Reason",1
"216",2012-01-16,2012-01-16 22:45:00,"1","1980","Arson",1
"217",2012-01-16,2012-01-16 23:44:00,"1","0127","Other Reason",1
"218",2012-01-17,2012-01-17 00:58:00,"1","1280","Other Reason",1
"219",2012-01-17,2012-01-17 02:04:00,"1","2081","Arson",1
"220",2012-01-17,2012-01-17 05:00:00,"1","1490","Arson",1
"221",2012-01-17,2012-01-17 06:41:00,"1","1496","Other Reason",1
"222",2012-01-17,2012-01-17 06:44:00,"0","2184","Technical Malfunctioning",1
"223",2012-01-17,2012-01-17 08:44:00,"1","1480","Other Reason",1
"224",2012-01-17,2012-01-17 11:19:00,"0","0484","Other Reason",1
"225",2012-01-17,2012-01-17 11:39:00,"1","0186","Other Reason",1
"226",2012-01-17,2012-01-17 17:36:00,"0","1880","Other Reason",1
"227",2012-01-17,2012-01-17 21:26:00,"1","1283","Technical Malfunctioning",1
"228",2012-01-17,2012-01-17 22:04:00,"1","0126","Other Reason",1
"229",2012-01-17,2012-01-17 23:40:00,"1","0680","Arson",1
"230",2012-01-17,2012-01-17 23:57:00,"1","1282","Technical Malfunctioning",1
"231",2012-01-18,2012-01-18 01:06:00,"1","0127","Other Reason",1
"232",2012-01-18,2012-01-18 02:28:00,"1","0184","Other Reason",1
"233",2012-01-18,2012-01-18 03:22:00,"1","1277","Arson",1
"234",2012-01-18,2012-01-18 03:47:00,"0","1292","Arson",1
"235",2012-01-18,2012-01-18 11:31:00,"0","1486","Other Reason",1
"236",2012-01-18,2012-01-18 19:54:00,"0","0480","Other Reason",1
"237",2012-01-18,2012-01-18 20:32:00,"1","0380","Other Reason",1
"238",2012-01-18,2012-01-18 21:36:00,"1","0127","Other Reason",1
"239",2012-01-18,2012-01-18 23:28:00,"1","1980","Other Reason",1
"240",2012-01-19,2012-01-19 00:18:00,"1","1283","Arson",1
"241",2012-01-19,2012-01-19 02:12:00,"0","1480","Arson",1
"242",2012-01-19,2012-01-19 03:16:00,"1","1280","Arson",1
"243",2012-01-19,2012-01-19 04:20:00,"1","0123","Arson",1
"244",2012-01-19,2012-01-19 13:15:00,"1","1233","Other Reason",1
"245",2012-01-19,2012-01-19 16:56:00,"1","1780","Other Reason",1
"246",2012-01-19,2012-01-19 17:00:00,"1","2560","Other Reason",1
"247",2012-01-19,2012-01-19 18:11:00,"1","1495","Other Reason",1
"248",2012-01-19,2012-01-19 19:47:00,"1","1264","Technical Malfunctioning",1
"249",2012-01-19,2012-01-19 22:45:00,"1","0980","Other Reason",1
"250",2012-01-20,2012-01-20 03:34:00,"1","1380","Arson",1
"251",2012-01-20,2012-01-20 08:24:00,"1","0486","Technical Malfunctioning",1
"252",2012-01-20,2012-01-20 16:47:00,"1","1781","Other Reason",1
"253",2012-01-20,2012-01-20 22:49:00,"1","1480","Other Reason",1
"254",2012-01-21,2012-01-21 01:14:00,"1","0180","Arson",1
"255",2012-01-21,2012-01-21 01:35:00,"1","2180","Arson",1
"256",2012-01-21,2012-01-21 03:47:00,"1","0380","Other Reason",1
"257",2012-01-21,2012-01-21 06:28:00,"1","2580","Technical Malfunctioning",1
"258",2012-01-21,2012-01-21 10:49:00,"1","1287","Technical Malfunctioning",1
"259",2012-01-21,2012-01-21 16:37:00,"1","0484","Other Reason",1
"260",2012-01-21,2012-01-21 16:37:00,"0","1380","Technical Malfunctioning",1
"261",2012-01-21,2012-01-21 19:00:00,"1","2184","Technical Malfunctioning",1
"262",2012-01-21,2012-01-21 19:48:00,"1","1292","Technical Malfunctioning",1
"263",2012-01-21,2012-01-21 20:16:00,"1","0180","Arson",1
"264",2012-01-21,2012-01-21 21:46:00,"1","1485","Other Reason",1
"265",2012-01-21,2012-01-21 22:02:00,"1","0180","Arson",1
"266",2012-01-22,2012-01-22 01:23:00,"1","0126","Other Reason",1
"267",2012-01-22,2012-01-22 01:52:00,"1","2180","Arson",1
"268",2012-01-22,2012-01-22 03:08:00,"1","1380","Arson",1
"269",2012-01-22,2012-01-22 03:27:00,"1","1280","Other Reason",1
"270",2012-01-22,2012-01-22 05:02:00,"1","1487","Other Reason",1
"271",2012-01-22,2012-01-22 05:18:00,"1","0180","Arson",1
"272",2012-01-22,2012-01-22 10:46:00,"1","1264","Technical Malfunctioning",1
"273",2012-01-22,2012-01-22 18:39:00,"0","0180","Technical Malfunctioning",1
"274",2012-01-22,2012-01-22 19:18:00,"1","0381","Other Reason",1
"275",2012-01-22,2012-01-22 21:01:00,"0","0180","Other Reason",1
"276",2012-01-22,2012-01-22 23:06:00,"1","1380","Arson",1
"277",2012-01-22,2012-01-22 23:20:00,"1","0126","Arson",1
"278",2012-01-22,2012-01-22 23:39:00,"0","0881","Other Reason",1
"279",2012-01-23,2012-01-23 00:51:00,"1","0682","Other Reason",1
"280",2012-01-23,2012-01-23 01:34:00,"1","0180","Arson",1
"281",2012-01-23,2012-01-23 03:59:00,"1","1485","Other Reason",1
"282",2012-01-23,2012-01-23 07:00:00,"1","0586","Other Reason",1
"283",2012-01-23,2012-01-23 08:15:00,"1","1881","Technical Malfunctioning",1
"284",2012-01-23,2012-01-23 09:58:00,"1","2281","Other Reason",1
"285",2012-01-23,2012-01-23 15:42:00,"1","1860","Technical Malfunctioning",1
"286",2012-01-23,2012-01-23 17:48:00,"1","1480","Arson",1
"287",2012-01-23,2012-01-23 18:59:00,"1","0127","Other Reason",1
"288",2012-01-23,2012-01-23 19:00:00,"1","0191","Other Reason",1
"289",2012-01-24,2012-01-24 03:51:00,"1","1402","Other Reason",1
"290",2012-01-24,2012-01-24 13:00:00,"1","2026","Technical Malfunctioning",1
"291",2012-01-24,2012-01-24 15:27:00,"0","1383","Technical Malfunctioning",1
"292",2012-01-24,2012-01-24 16:28:00,"1","1883","Technical Malfunctioning",1
"293",2012-01-24,2012-01-24 19:30:00,"1","1765","Technical Malfunctioning",1
"294",2012-01-24,2012-01-24 23:06:00,"1","0181","Other Reason",1
"295",2012-01-24,2012-01-24 23:31:00,"1","1435","Other Reason",1
"296",2012-01-25,2012-01-25 01:55:00,"1","1280","Arson",1
"297",2012-01-25,2012-01-25 02:01:00,"1","1980","Other Reason",1
"298",2012-01-25,2012-01-25 04:15:00,"1","1480","Arson",1
"299",2012-01-25,2012-01-25 04:29:00,"1","1480","Technical Malfunctioning",1
"300",2012-01-25,2012-01-25 05:12:00,"1","0127","Other Reason",1
"301",2012-01-25,2012-01-25 06:04:00,"0","1482","Other Reason",1
"302",2012-01-25,2012-01-25 06:38:00,"1","1280","Other Reason",1
"303",2012-01-25,2012-01-25 20:14:00,"1","0191","Technical Malfunctioning",1
"304",2012-01-25,2012-01-25 21:59:00,"1","1419","Other Reason",1
