"","Date","DateTime","isCar","Municipality_Code","Reason","Weekday","Temperature","Precipitation","Holidays","Christmas_Holidays","Sport_Holidays","Easter_Holidays","Summer_Holidays","Autumn_Holidays","Count"
"4048",2015-08-23,2015-08-23 00:41:00,"1","0181","Arson","söndag",16.5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4049",2015-08-23,2015-08-23 01:59:00,"1","0180","Arson","söndag",17.3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4050",2015-08-23,2015-08-23 03:01:00,"1","0126","Other Reason","söndag",16.4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4051",2015-08-23,2015-08-23 04:27:00,"1","0139","Arson","söndag",16.5,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1
"4052",2015-08-23,2015-08-23 12:12:00,"1","0180","Arson","söndag",17.3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4053",2015-08-24,2015-08-24 00:06:00,"1","0136","Other Reason","måndag",18.3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4054",2015-08-24,2015-08-24 09:49:00,"0","0180","Other Reason","måndag",19.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4055",2015-08-28,2015-08-28 00:09:00,"1","0136","Other Reason","fredag",17.5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4056",2015-08-28,2015-08-28 00:40:00,"1","0180","Arson","fredag",18,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
"4057",2015-08-28,2015-08-28 02:10:00,"1","0180","Arson","fredag",18,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
"4058",2015-08-28,2015-08-28 18:13:00,"0","0136","Arson","fredag",17.5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4059",2015-08-28,2015-08-28 23:56:00,"1","0180","Arson","fredag",18,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
"4060",2015-08-29,2015-08-29 01:07:00,"1","0136","Technical Malfunctioning","lördag",16.7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
