"","Date","DateTime","isCar","Municipality_Code","Reason","Weekday","Temperature","Precipitation","Holidays","Christmas_Holidays","Sport_Holidays","Easter_Holidays","Summer_Holidays","Autumn_Holidays","Count"
"65",2012-03-21,2012-03-21 22:34:00,"1","0180","Arson","onsdag",8.6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"66",2012-03-22,2012-03-22 00:26:00,"1","0117","Arson","torsdag",8.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"67",2012-03-23,2012-03-23 03:36:00,"1","0180","Arson","fredag",7.7,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"68",2012-03-23,2012-03-23 10:33:00,"1","0180","Arson","fredag",7.7,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"69",2012-03-24,2012-03-24 19:43:00,"1","0180","Arson","lördag",7.7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"70",2012-03-25,2012-03-25 23:18:00,"1","0125","Arson","söndag",5.6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"71",2012-03-26,2012-03-26 00:40:00,"1","0180","Arson","måndag",7.3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"72",2012-03-26,2012-03-26 01:54:00,"1","0180","Arson","måndag",7.3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"73",2012-03-27,2012-03-27 22:23:00,"1","0180","Arson","tisdag",10.4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"74",2012-03-31,2012-03-31 21:42:00,"1","0163","Arson","lördag",-0.2,1.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"75",2012-04-06,2012-04-06 01:25:00,"1","0180","Arson","fredag",0.9,2.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"76",2012-04-07,2012-04-07 03:42:00,"1","0180","Arson","lördag",0.6,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
"77",2012-04-08,2012-04-08 00:24:00,"1","0115","Arson","söndag",0.9,0.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
"78",2012-04-08,2012-04-08 22:56:00,"1","0180","Arson","söndag",1.6,0.2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
"79",2012-04-09,2012-04-09 00:04:00,"1","0192","Arson","måndag",2.8,0.5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
"80",2012-04-09,2012-04-09 23:52:00,"0","0180","Arson","måndag",3.2,0.9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
"81",2012-04-15,2012-04-15 02:01:00,"1","0180","Arson","söndag",3.3,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2
"82",2012-04-15,2012-04-15 20:07:00,"1","0180","Arson","söndag",3.3,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2
"83",2012-04-18,2012-04-18 23:29:00,"1","0127","Arson","onsdag",3.2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"84",2012-04-19,2012-04-19 00:58:00,"1","0188","Arson","torsdag",4.1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"85",2012-04-19,2012-04-19 02:29:00,"1","0180","Arson","torsdag",5.2,3.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
