Date,Time,Type_of_Vehicle,Municipality_Code,Municipality_Name,Type_of_Municipality_Code,Type_of_Muncipality,Reason,Year,Quarter,Month,Day,Weekday,Hour,Minute,Region_Code,Week,Holidays,Christmas_Holidays,Sport_Holidays,Easter_Holidays,Summer_Holidays,Autumn_Holidays,Temperature,Precipitation
2012-01-13T00:00:00Z,1899-12-31T09:17:00Z,Övriga vägfordon,0180,Stockholm,1,Storstäder,Technical Malfunctioning,2012,1,1,13,Friday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.6,0.9
2012-01-13T00:00:00Z,1899-12-31T21:17:00Z,"Personbil, Övriga vägfordon",0180,Stockholm,1,Storstäder,Unknown,2012,1,1,13,Friday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.6,0.9
2012-01-13T00:00:00Z,1899-12-31T23:06:00Z,Personbil,0127,Botkyrka,2,Pendlingskommun nära storstad,Unknown,2012,1,1,13,Friday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.8,0.6
2012-01-14T00:00:00Z,1899-12-31T02:17:00Z,Personbil,0138,Tyresö,2,Pendlingskommun nära storstad,Unknown,2012,1,1,14,Saturday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.1,0
2012-01-14T00:00:00Z,1899-12-31T02:41:00Z,Personbil,0183,Sundbyberg,2,Pendlingskommun nära storstad,Unknown,2012,1,1,14,Saturday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.3,0
2012-01-14T00:00:00Z,1899-12-31T18:50:00Z,Personbil,0126,Huddinge,2,Pendlingskommun nära storstad,Unknown,2012,1,1,14,Saturday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.4,0
2012-01-14T00:00:00Z,1899-12-31T23:07:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,1,14,Saturday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.1,0
2012-01-15T00:00:00Z,1899-12-31T01:52:00Z,Personbil,0181,Södertälje,3,Större stad,Unknown,2012,1,1,15,Sunday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-3.1,0.3
2012-01-15T00:00:00Z,1899-12-31T04:23:00Z,Personbil,0181,Södertälje,3,Större stad,Unknown,2012,1,1,15,Sunday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-3.1,0.3
2012-01-16T00:00:00Z,1899-12-31T00:56:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,1,16,Monday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.8,3.8
2012-01-16T00:00:00Z,1899-12-31T00:57:00Z,Personbil,0180,Stockholm,1,Storstäder,Unknown,2012,1,1,16,Monday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.8,3.8
2012-01-16T00:00:00Z,1899-12-31T10:54:00Z,Personbil,0180,Stockholm,1,Storstäder,Unknown,2012,1,1,16,Monday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.8,3.8
2012-01-16T00:00:00Z,1899-12-31T23:44:00Z,Personbil,0127,Botkyrka,2,Pendlingskommun nära storstad,Unknown,2012,1,1,16,Monday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,3.9
2012-01-17T00:00:00Z,1899-12-31T11:39:00Z,Personbil,0186,Lidingö,2,Pendlingskommun nära storstad,Unknown,2012,1,1,17,Tuesday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.2
2012-01-17T00:00:00Z,1899-12-31T22:04:00Z,Personbil,0126,Huddinge,2,Pendlingskommun nära storstad,Unknown,2012,1,1,17,Tuesday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.7,0
