Municipality_Name,Temperature,Number_of_Fires_Month,Date,Percentage_of_Unemployed_18_64,Adj_Median_income_20plus,Total_Number_of_1000_Residents
Botkyrka,7.132258064516129,9,Oct 2015,8.864527166666665,115.0958217270195,90.46666666666667
Botkyrka,12.816666666666666,7,Sep 2015,8.889657249999999,115.22420524261015,90.3625
Botkyrka,3.296774193548387,8,Dec 2015,8.814267,115.15997770345597,90.675
Botkyrka,4.486666666666666,9,Nov 2015,8.839397083333333,115.28850446428571,90.57083333333333
Botkyrka,6.703333333333333,23,Apr 2015,9.015307666666667,115.54642058165548,89.84166666666667
Botkyrka,-0.3586206896551724,13,Feb 2016,8.794793666666665,117.72575250836121,90.88333333333333
Botkyrka,1.6193548387096774,10,Dec 2016,8.697427,115.72602739726027,91.925
Botkyrka,14.413333333333334,16,Sep 2016,8.726637,116.68508287292818,91.6125
Botkyrka,-4.903225806451613,8,Jan 2016,8.804530333333332,118.12080536912751,90.77916666666667
Botkyrka,1.6666666666666667,8,Nov 2016,8.707163666666666,116.29955947136564,91.82083333333333
Botkyrka,18.009677419354837,8,Jul 2016,8.746110333333332,116.74958540630182,91.40416666666667
Botkyrka,5.443333333333333,13,Apr 2016,8.775320333333333,117.2031076581576,91.09166666666667
Botkyrka,2.503225806451613,18,Mar 2016,8.785056999999998,117.13810316139767,90.9875
Botkyrka,12.17741935483871,11,May 2016,8.765583666666666,116.94352159468438,91.19583333333333
Botkyrka,15.746666666666666,9,Jun 2016,8.755847,116.87880464858883,91.3
Botkyrka,16.151612903225807,9,Aug 2016,8.736373666666665,116.87880464858883,91.50833333333333
Botkyrka,7.041935483870968,10,Oct 2016,8.716900333333333,116.29955947136564,91.71666666666667
Botkyrka,-0.5142857142857143,5,Feb 2017,8.671635499999999,119.6604600219058,92.12183333333333
Botkyrka,3.16,5,Nov 2017,8.55557375,118.10810810810811,93.00758333333333
Botkyrka,-0.9290322580645162,15,Jan 2017,8.68453125,120.5184776613348,92.02341666666668
Botkyrka,12.66,9,Sep 2017,8.581365250000001,118.23593073593074,92.81075
Botkyrka,16.664516129032258,3,Jul 2017,8.60715675,118.23593073593074,92.61391666666667
Botkyrka,10.525806451612903,7,May 2017,8.63294825,118.94393032117583,92.41708333333332
Botkyrka,14.68,10,Jun 2017,8.6200525,118.87921653971708,92.5155
Botkyrka,16.048387096774192,10,Aug 2017,8.594261,118.42818428184282,92.71233333333333
Botkyrka,0.935483870967742,4,Dec 2017,8.542678,117.66289714593431,93.106
Botkyrka,7.593548387096774,7,Oct 2017,8.5684695,118.36403033586132,92.90916666666668
Botkyrka,2.729032258064516,6,Mar 2017,8.658739749999999,119.72602739726027,92.22025
Botkyrka,4.263333333333334,1,Apr 2017,8.645844,119.00871459694989,92.31866666666667
Botkyrka,-0.467741935483871,3,Jan 2018,8.542678,122.52985884907709,93.106
Botkyrka,3.8966666666666665,6,Nov 2018,8.542678,119.6078431372549,93.106
Botkyrka,13.503333333333334,6,Sep 2018,8.542678,119.35483870967742,93.106
Botkyrka,21.383870967741935,15,Jul 2018,8.542678,119.6712619300106,93.106
Botkyrka,16.346666666666668,3,Jun 2018,8.542678,120.3091684434968,93.106
Botkyrka,18.28709677419355,3,Aug 2018,8.542678,119.92561105207227,93.106
Botkyrka,-3.925,4,Feb 2018,8.542678,121.6711590296496,93.106
Botkyrka,6.176666666666667,8,Apr 2018,8.542678,120.82441113490364,93.106
Botkyrka,14.890322580645162,8,May 2018,8.542678,120.56623931623932,93.106
Botkyrka,0.2129032258064516,5,Dec 2018,8.542678,119.10290237467018,93.106
Botkyrka,7.774193548387097,10,Oct 2018,8.542678,119.54449152542372,93.106
Botkyrka,-2.2225806451612904,2,Mar 2018,8.542678,121.34408602150538,93.106
Danderyd,13.353333333333333,0,Sep 2005,2.488406,127.17453416149068,30.4255
